"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimA_rep6_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.960665906116898, -0.329680928972843, -0.199284967507186, -0.675415850625586, 0.432294116087078], [0.0034749307200144]]","SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.247783660888672,0.00662565231323242,"2025-06-08 13:18:29.515532"
"SimA_rep7_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.951682860465394, -0.306711621987796, -0.333232989467454, -0.57070617332516, 0.418242599643321], [0.0580051454932352]]","SimA_rep7_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.529844999313354,0.00659322738647461,"2025-06-08 13:18:29.826524"
"SimA_rep8_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.957015744347663, -0.177783226716384, -0.578150576993415, -0.772980620640331, 0.64742186996426], [-0.0471102833494601]]","SimA_rep8_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.22673773765564,0.0117926597595215,"2025-06-08 13:18:30.416012"
"SimA_rep9_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.918948913517378, -0.0734923874753781, -0.330764964779047, -0.677622270145605, 0.442957454402055], [-0.0770516660261019]]","SimA_rep9_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.237464904785156,0.0111501216888428,"2025-06-08 13:18:30.708091"
"SimA_rep0_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.911276914675151, -0.28603546990094, -0.383897569183256, -0.581930512140092, 0.415023812551943], [0.039184842974074]]","SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.619608402252197,0.00734353065490723,"2025-06-08 13:18:31.010602"
"SimA_rep1_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[1.00217132730802, -0.352349448925997, -0.360512317221026, -0.600351804755302, 0.371731302406023], [0.0520395774412591]]","SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.337016105651855,0.0119712352752686,"2025-06-08 13:18:31.690834"
"SimA_rep2_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[1.00154430771273, -0.332958174031174, -0.377379514271047, -0.73977474189012, 0.507505759227608], [-0.00330730651685446]]","SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.34955096244812,0.0155580043792725,"2025-06-08 13:18:32.089954"
"SimA_rep3_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.965828892722653, -0.243188035599885, -0.430154396331414, -0.67888025447195, 0.570545426833194], [0.0236607822048226]]","SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.701453447341919,0.00738692283630371,"2025-06-08 13:18:32.504222"
"SimA_rep4_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.947984439363293, -0.27567738319047, -0.363847559479578, -0.676395645348562, 0.482093462723813], [-0.0167785153651059]]","SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.345129728317261,0.00741291046142578,"2025-06-08 13:18:33.266761"
"SimA_rep5_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.924566194648204, -0.276643552379045, -0.366986289801589, -0.622760593116197, 0.408836901113717], [-0.00151417669380949]]","SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.661929607391357,0.00742125511169434,"2025-06-08 13:18:33.668735"
