set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimA_rep5_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[0.794105593946792, -0.0324781075276127, -0.501407049024081, -0.648860982470401, 0.452941883976238], [0.0319208064596405]]",SimA_rep5_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.764113903045654,0.0340445041656494,2025-06-08 13:18:55.687036,SimA,5.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.794105593946792, -0.0324781075276127, -0.501407049024081, -0.648860982470401, 0.452941883976238]",0.0319208064596405,0.3135422060314752,0.2751146099847165,0.31458112033457736,0.22943199796810274
SimA_rep6_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[1.04326568499668, -0.364125907984209, -0.144603439976851, -0.954010212956475, 0.568207143668653], [-0.018289280392279]]",SimA_rep6_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.729375839233398,0.0091545581817627,2025-06-08 13:18:56.558312,SimA,6.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.04326568499668, -0.364125907984209, -0.144603439976851, -0.954010212956475, 0.568207143668653]",-0.018289280392279,0.20560284355483707,0.12971566687329866,0.2059265978431207,0.1081521386906268
SimA_rep7_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[0.842068061038234, -0.189851900269269, -0.334090650704118, -0.590670628035236, 0.420377830232317], [0.0547298801139816]]",SimA_rep7_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.355228662490845,0.0130815505981445,2025-06-08 13:18:57.382181,SimA,7.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.842068061038234, -0.189851900269269, -0.334090650704118, -0.590670628035236, 0.420377830232317]",0.0547298801139816,0.12534048939930842,0.2516583073280901,0.13365115859813195,0.21021448273629018
SimA_rep8_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[1.04778707186075, -0.17792570245202, -0.608600937361967, -0.732267113721269, 0.600442441466652], [-0.0901940542066765]]",SimA_rep8_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.653260469436646,0.0083081722259521,2025-06-08 13:18:57.816889,SimA,8.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.04778707186075, -0.17792570245202, -0.608600937361967, -0.732267113721269, 0.600442441466652]",-0.0901940542066765,0.22625560590619373,0.14267629282569166,0.23349568791844236,0.12025273859044922
SimA_rep9_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[1.0661946952268, -0.125877540005663, -0.319527263678812, -0.804014286858763, 0.45333995444303], [-0.0747334554618471]]",SimA_rep9_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.375425338745117,0.0147030353546143,2025-06-08 13:18:58.534375,SimA,9.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.0661946952268, -0.125877540005663, -0.319527263678812, -0.804014286858763, 0.45333995444303]",-0.0747334554618471,0.2127459857836671,0.1666558330240686,0.21878589735269863,0.13981070908093515
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.876258899605489, -0.187994255549955, -0.464712291397724, -0.660087507004095, 0.50621939309121], [0.0192560038512516]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.857444047927856,0.0097520351409912,2025-06-08 13:18:58.977488,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.876258899605489, -0.187994255549955, -0.464712291397724, -0.660087507004095, 0.50621939309121]",0.0192560038512516,0.18423640331928853,0.20854436433164167,0.1848168353843723,0.17384876922375467
SimA_rep1_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.976791048870874, -0.308114098843912, -0.388008249792055, -0.619427777527352, 0.405524151268266], [0.0312299987921693]]",SimA_rep1_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.777265071868896,0.0093615055084228,2025-06-08 13:18:59.89571,SimA,1.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.976791048870874, -0.308114098843912, -0.388008249792055, -0.619427777527352, 0.405524151268266]",0.0312299987921693,0.10530538068091626,0.18967263111557411,0.10791196621919377,0.15822307806707156
SimA_rep2_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.969127590434637, -0.300759869636553, -0.388374694639923, -0.658613174784038, 0.453304897370757], [0.00533035788615044]]",SimA_rep2_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.526956081390381,0.0097248554229736,2025-06-08 13:19:00.739365,SimA,2.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.969127590434637, -0.300759869636553, -0.388374694639923, -0.658613174784038, 0.453304897370757]",0.0053303578861504,0.08643952673876723,0.1774182975160396,0.08652956828023803,0.14785331671589874
SimA_rep3_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.940487491568446, -0.208656716391101, -0.36959285013301, -0.780497679672107, 0.568558854448355], [0.0308898965427263]]",SimA_rep3_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.843715906143188,0.0149531364440918,2025-06-08 13:19:01.334836,SimA,3.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.940487491568446, -0.208656716391101, -0.36959285013301, -0.780497679672107, 0.568558854448355]",0.0308898965427263,0.15784009960223694,0.1657913322338309,0.15933348650625065,0.1383184744795958
SimA_rep4_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.987562201046551, -0.331187912444564, -0.384748891251159, -0.612640161650476, 0.457818384103896], [0.00477357659435286]]",SimA_rep4_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.810132265090942,0.009688377380371,2025-06-08 13:19:02.248743,SimA,4.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.987562201046551, -0.331187912444564, -0.384748891251159, -0.612640161650476, 0.457818384103896]",0.0047735765943528,0.07529392753370218,0.17656257453910845,0.07537696188685183,0.14713927662150741
