"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.54277648714567, -0.455052996976859, -0.470201579757346, -0.553866510391714, 0.367811765420442], [0.0164461481794697]]","SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.227334499359131,0.00586438179016113,"2025-06-12 09:29:10.622039"
"SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.58088863519379, -0.496329464829944, -0.377491908953674, -0.711580140602084, 0.481112422517816], [0.0549566991186248]]","SimE_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.799462556838989,0.00621247291564941,"2025-06-12 09:29:10.911135"
"SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.53134521100929, -0.612286907538075, -0.41347964136358, -0.723336308551042, 0.467965700552109], [-0.00851267041711029]]","SimE_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.230569362640381,0.00622653961181641,"2025-06-12 09:29:11.768631"
"SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.49614134400488, -0.566703015088913, -0.423509794371282, -0.642799452480762, 0.399761846462274], [-0.0073265103376665]]","SimE_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.227492332458496,0.00614118576049805,"2025-06-12 09:29:12.056366"
"SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.4621488204868, -0.596874296658183, -0.454031910095585, -0.74409027141163, 0.538588273126146], [0.0412881187950727]]","SimE_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.234894990921021,0.00617098808288574,"2025-06-12 09:29:12.346249"
"SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.49348844391728, -0.648528579902232, -0.465170266353391, -0.675076878183514, 0.42089981516713], [0.0397036213059718]]","SimE_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.672200202941895,0.00633049011230469,"2025-06-12 09:29:12.644525"
"SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.58669668939885, -0.543995860783195, -0.484526417024811, -0.716191088079168, 0.532538766151288], [0.01941610406569]]","SimE_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.290234327316284,0.00615835189819336,"2025-06-12 09:29:13.376956"
"SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.5200579406087, -0.555325253197054, -0.537317861042168, -0.630068742835663, 0.41057378153431], [-0.0172271131352267]]","SimE_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.235226392745972,0.00622129440307617,"2025-06-12 09:29:13.740795"
"SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.45460422162573, -0.485707110323221, -0.384511172713113, -0.676827578341237, 0.450859025210739], [0.00350165501582194]]","SimE_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.21848726272583,0.00611042976379395,"2025-06-12 09:29:14.040584"
"SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.52796468708361, -0.575156500125513, -0.445782556122638, -0.660254322616549, 0.446268803612683], [0.0355120481486196]]","SimE_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.230659008026123,0.00588870048522949,"2025-06-12 09:29:14.319016"
