"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.354947683878879, 0.287679504742462, -0.721875105623276, -0.284332875491574, 0.349819432586974], [0.137443040190765]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.503931999206543,0.00306177139282227,"2025-11-28 01:02:04.585481"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.477823894132896, -0.0359608912795319, -0.556338892541464, -0.18496793260507, 0.263581634832257], [0.0734392358419054]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.138901233673096,0.00307631492614746,"2025-11-28 01:02:05.121589"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.424734279252376, 0.225993425573956, -0.476400689795075, -0.333054969947619, 0.292490396299048], [0.242934821881103]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.20346212387085,0.0100743770599365,"2025-11-28 01:02:05.293106"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.293343833538715, 0.364201632703303, -0.476344620806046, -0.33329303716248, 0.312895311288897], [0.216393529777144]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.67109227180481,0.00370216369628906,"2025-11-28 01:02:05.535405"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.335405570689299, 0.280475269339459, -0.53429882685811, -0.259876427321788, 0.314243952992641], [0.242543276832239]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.199552297592163,0.00363874435424805,"2025-11-28 01:02:06.238312"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.221687573888082, 0.508006232090925, -0.567850814088877, -0.300159121620952, 0.319446496752019], [0.147729685898653]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.210326194763184,0.00747227668762207,"2025-11-28 01:02:06.473661"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.398648713078007, 0.191520639816417, -0.429957617318418, -0.334058075696456, 0.273750658457067], [0.149366561538868]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.678759574890137,0.00355052947998047,"2025-11-28 01:02:06.721982"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.528266095091834, -0.0981781937797528, -0.429009831530009, -0.240900293198759, 0.312128955953462], [0.286932708887894]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.198930740356445,0.00350475311279297,"2025-11-28 01:02:07.432916"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.371570295258658, 0.252550039394203, -0.573617687534056, -0.23890998865209, 0.307261291343012], [0.174176866282265]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.608410835266113,0.00380086898803711,"2025-11-28 01:02:07.667046"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.497264165806326, 0.138790856923675, -0.419478510379443, -0.365156820010141, 0.285507002288625], [0.205521902840856]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.209114074707031,0.0036308765411377,"2025-11-28 01:02:08.312762"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.238075938090389, 0.37450504023594, -0.509646618871369, -0.27331065604847, 0.301675707213385], [0.206819542930244]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.209491014480591,0.0052030086517334,"2025-11-28 01:02:08.555219"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.319820311799186, 0.16312326152511, -0.473819837466604, -0.233476598110884, 0.29498426464427], [0.174728519949412]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.899256229400635,0.00383448600769043,"2025-11-28 01:02:08.799382"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.264748181274703, 0.44130120727568, -0.569242870822213, -0.343979394727564, 0.311694582301351], [0.185418211427713]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.325425624847412,0.00449442863464355,"2025-11-28 01:02:09.73442"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.331765513096864, 0.268765364335204, -0.463754036084539, -0.319393762188341, 0.290004455090366], [0.205747280583396]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_10000",1.07421493530273,0.00444793701171875,"2025-11-28 01:02:10.098384"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.406671583835, 0.258140554611534, -0.493639290469721, -0.301427288129112, 0.286793060749536], [0.21910306369391]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.325439929962158,0.00437426567077637,"2025-11-28 01:02:11.210474"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.440074483746277, 0.274672680402917, -0.534628120217249, -0.28361728068738, 0.290460688450256], [0.20496204560584]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.74345064163208,0.00470590591430664,"2025-11-28 01:02:11.580605"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.317849592520007, 0.343755384196795, -0.465025142510258, -0.318201646133498, 0.262547169645553], [0.133196902205601]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.292709112167358,0.00809693336486816,"2025-11-28 01:02:12.360854"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.54876693368239, -0.0215719936722123, -0.399533757883548, -0.267912726668981, 0.274699305000988], [0.262648151987527]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.735439777374268,0.0081474781036377,"2025-11-28 01:02:12.70115"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.403483098554944, 0.302848073111132, -0.546149122659549, -0.299546665996619, 0.293286045101218], [0.21836862201696]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.295219659805298,0.00413393974304199,"2025-11-28 01:02:13.477862"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.412207301762343, 0.293088438780888, -0.566178617174481, -0.325246642208921, 0.297858531202659], [0.196171751238628]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_10000",1.12583875656128,0.008148193359375,"2025-11-28 01:02:09.943312"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.220742341901774, 0.396359544134419, -0.547204848360781, -0.274559622930475, 0.31524461981001], [0.173267430880149]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.296416521072388,0.0146477222442627,"2025-11-28 01:02:11.118398"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.299318077577758, 0.304778811063958, -0.478418328163839, -0.310553612747718, 0.306510476241849], [0.178618356327058]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.676138639450073,0.0067448616027832,"2025-11-28 01:02:11.471249"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.352976205468669, 0.322861695059538, -0.521230577649738, -0.30678943997947, 0.300909578711372], [0.212990834771007]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.84054017066956,0.00865459442138672,"2025-11-28 01:02:12.187194"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.367139118670346, 0.252896098607323, -0.514650601810738, -0.285804776252551, 0.301760928655477], [0.217479478575083]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.40918803215027,0.0087590217590332,"2025-11-28 01:02:14.078387"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.363198613345449, 0.281475237099954, -0.511318807526125, -0.303667372696057, 0.301409339399786], [0.209529477297888]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.89737558364868,0.00913739204406738,"2025-11-28 01:02:15.526903"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.331057763023571, 0.309016507028209, -0.512775891017338, -0.288636969255144, 0.294366648697778], [0.197444318841752]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_50000",0.983587265014648,0.00877928733825684,"2025-11-28 01:02:17.4774"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.350505438144176, 0.276701506406616, -0.543359800133976, -0.269091316051854, 0.296465070997517], [0.175039753243275]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.39913463592529,0.00881028175354004,"2025-11-28 01:02:18.500813"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.364979221045261, 0.241894486431229, -0.499578679343668, -0.27455781271116, 0.29105343688491], [0.221380826614077]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.43229603767395,0.00943517684936523,"2025-11-28 01:02:19.942782"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.417484278078184, 0.254230061325891, -0.53764713035939, -0.289842948147172, 0.287847694252495], [0.201450512101593]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.40311026573181,0.00864815711975098,"2025-11-28 01:02:21.414834"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.348186389428092, 0.286893352504445, -0.533481250083647, -0.279781041004669, 0.293176470418894], [0.174060717207537]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_50000",0.990072965621948,0.013056755065918,"2025-11-28 01:02:22.857323"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.402027258407125, 0.205247812854277, -0.496758882132362, -0.283412291455859, 0.293420801124992], [0.205502938502273]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_50000",1.78515148162842,0.00835108757019043,"2025-11-28 01:02:23.89027"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.310777262236747, 0.30994217550063, -0.514969480857558, -0.271268399092927, 0.285808814713425], [0.170309012016107]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_50000",0.917032718658447,0.00802326202392578,"2025-11-28 01:02:25.717286"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[-2.93689965780383, 1.77044259033544, 0.539936936254236, -0.206737282282923, 0.437674255416202], [0.551531308040974]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.1622314453125,0.00333380699157715,"2025-11-28 01:02:26.677681"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[2.21743626308017, -2.36580821081006, -1.69955629136284, -0.26417920692624, 1.02739862063485], [-0.262601798511499]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.571916818618774,0.00431680679321289,"2025-11-28 01:02:26.874357"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[0.633921685478428, -0.819500771783624, -1.06328115836642, -0.770154987206351, 0.960719439750915], [-0.747350938067111]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.1518235206604,0.00340008735656738,"2025-11-28 01:02:27.478966"
