set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,center_X,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimNLMNAR_rep1_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.163444072199598, 0.522499494152061, -0.443345853593684, -0.336504062641103, 0.321735062823539], [0.274899786815089]]",SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.131196022033691,0.0030431747436523,2025-11-28 01:02:03.083122,SimNLMNAR,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.163444072199598, 0.522499494152061, -0.443345853593684, -0.336504062641103, 0.321735062823539]",0.274899786815089,0.0,1.130811478877249,0.8531848732095796,1.1538131720648088,0.7235823764731464
SimNLMNAR_rep2_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.589200072382315, -0.115767115921281, -0.451036657109878, -0.248669845510742, 0.332996103782718], [0.329950114055934]]",SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.13244891166687,0.0064640045166015,2025-11-28 01:02:03.245343,SimNLMNAR,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.589200072382315, -0.115767115921281, -0.451036657109878, -0.248669845510742, 0.332996103782718]",0.329950114055934,0.0,0.37323294398303875,0.45728229434929635,0.5173218176337567,0.39921309158533425
SimNLMNAR_rep3_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.564055438589054, 0.0929764137359277, -0.47516580438455, -0.366214237126965, 0.306549467783982], [0.21441940368271]]",SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.615825653076172,0.0039222240447998,2025-11-28 01:02:02.792099,SimNLMNAR,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.564055438589054, 0.0929764137359277, -0.47516580438455, -0.366214237126965, 0.306549467783982]",0.21441940368271,0.0,0.49818763908541513,0.48709938075054826,0.5478004137870645,0.4135787640713984
SimNLMNAR_rep4_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.278673874905616, 0.182498888585801, -0.45851444029057, -0.287788082569945, 0.309178390380385], [0.135399591454635]]",SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.559837579727173,0.0134060382843018,2025-11-28 01:02:03.455577,SimNLMNAR,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.278673874905616, 0.182498888585801, -0.45851444029057, -0.287788082569945, 0.309178390380385]",0.135399591454635,0.0,0.7670543485270417,0.674484961858093,0.7854054206338397,0.5651263097760912
SimNLMNAR_rep5_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.102073715585675, 0.080513116757606, -0.325626362403166, -0.197452988251927, 0.343499172320249], [0.387242563304738]]",SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.133219242095947,0.0067963600158691,2025-11-28 01:02:04.06914,SimNLMNAR,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.102073715585675, 0.080513116757606, -0.325626362403166, -0.197452988251927, 0.343499172320249]",0.387242563304738,0.0,0.8477464708527805,0.7752977501469456,1.0075498831220102,0.6710742589282587
SimNLMNAR_rep6_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.322662816709031, 0.59537424672236, -0.79366551031103, -0.337317280352304, 0.325936677068007], [0.129925361308201]]",SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.135520219802856,0.0030827522277832,2025-11-28 01:02:04.239265,SimNLMNAR,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.322662816709031, 0.59537424672236, -0.79366551031103, -0.337317280352304, 0.325936677068007]",0.129925361308201,0.0,1.0823542430812636,0.8108481210508588,1.0857460195400335,0.6785202007942267
SimNLMNAR_rep7_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.711385098131443, 0.0463035526692882, -0.724641867261681, -0.283234002750084, 0.347547677678072], [0.178082283014868]]",SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.140215396881104,0.0067555904388427,2025-11-28 01:02:04.409025,SimNLMNAR,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.711385098131443, 0.0463035526692882, -0.724641867261681, -0.283234002750084, 0.347547677678072]",0.178082283014868,0.0,0.5820824983416397,0.4393999114195938,0.6009634903942417,0.37145214277029276
SimNLMNAR_rep8_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.354947683878879, 0.287679504742462, -0.721875105623276, -0.284332875491574, 0.349819432586974], [0.137443040190765]]",SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.503931999206543,0.0030617713928222,2025-11-28 01:02:04.585481,SimNLMNAR,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.354947683878879, 0.287679504742462, -0.721875105623276, -0.284332875491574, 0.349819432586974]",0.137443040190765,0.0,0.887470478867685,0.6691307883356002,0.8955626038260346,0.560757421829147
SimNLMNAR_rep9_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.477823894132896, -0.0359608912795319, -0.556338892541464, -0.18496793260507, 0.263581634832257], [0.0734392358419054]]",SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.138901233673096,0.0030763149261474,2025-11-28 01:02:05.121589,SimNLMNAR,9.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.477823894132896, -0.0359608912795319, -0.556338892541464, -0.18496793260507, 0.263581634832257]",0.0734392358419054,0.0,0.58945549947095,0.5595170176530178,0.5956604561756419,0.467163068271022
SimNLMNAR_rep0_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.424734279252376, 0.225993425573956, -0.476400689795075, -0.333054969947619, 0.292490396299048], [0.242934821881103]]",SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.20346212387085,0.0100743770599365,2025-11-28 01:02:05.293106,SimNLMNAR,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.424734279252376, 0.225993425573956, -0.476400689795075, -0.333054969947619, 0.292490396299048]",0.242934821881103,0.0,0.6971142296372081,0.6038556281873605,0.7461251995769023,0.5130492447698677
SimNLMNAR_rep1_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.293343833538715, 0.364201632703303, -0.476344620806046, -0.33329303716248, 0.312895311288897], [0.216393529777144]]",SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.67109227180481,0.003702163696289,2025-11-28 01:02:05.535405,SimNLMNAR,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.293343833538715, 0.364201632703303, -0.476344620806046, -0.33329303716248, 0.312895311288897]",0.216393529777144,0.0,0.9084689250087238,0.7158270092107127,0.9346846105339525,0.6043268676304959
SimNLMNAR_rep2_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.335405570689299, 0.280475269339459, -0.53429882685811, -0.259876427321788, 0.314243952992641], [0.242543276832239]]",SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.199552297592163,0.003638744354248,2025-11-28 01:02:06.238312,SimNLMNAR,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.335405570689299, 0.280475269339459, -0.53429882685811, -0.259876427321788, 0.314243952992641]",0.242543276832239,0.0,0.8496935005726965,0.6844762007605171,0.8867487103948828,0.5802013741565176
SimNLMNAR_rep3_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.221687573888082, 0.508006232090925, -0.567850814088877, -0.300159121620952, 0.319446496752019], [0.147729685898653]]",SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.210326194763184,0.007472276687622,2025-11-28 01:02:06.473661,SimNLMNAR,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.221687573888082, 0.508006232090925, -0.567850814088877, -0.300159121620952, 0.319446496752019]",0.147729685898653,0.0,1.0941235722999887,0.8236399494984201,1.1008350052010072,0.6900039679313026
SimNLMNAR_rep4_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.398648713078007, 0.191520639816417, -0.429957617318418, -0.334058075696456, 0.273750658457067], [0.149366561538868]]",SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.678759574890137,0.0035505294799804,2025-11-28 01:02:06.721982,SimNLMNAR,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.398648713078007, 0.191520639816417, -0.429957617318418, -0.334058075696456, 0.273750658457067]",0.149366561538868,0.0,0.6624861551507751,0.6106558138708587,0.686614763071424,0.5125982398433729
SimNLMNAR_rep5_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.528266095091834, -0.0981781937797528, -0.429009831530009, -0.240900293198759, 0.312128955953462], [0.286932708887894]]",SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.198930740356445,0.0035047531127929,2025-11-28 01:02:07.432916,SimNLMNAR,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.528266095091834, -0.0981781937797528, -0.429009831530009, -0.240900293198759, 0.312128955953462]",0.286932708887894,0.0,0.3856705568066593,0.49468808336655157,0.5131247821009264,0.42596179937708384
SimNLMNAR_rep6_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.371570295258658, 0.252550039394203, -0.573617687534056, -0.23890998865209, 0.307261291343012], [0.174176866282265]]",SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.608410835266113,0.0038008689880371,2025-11-28 01:02:07.667046,SimNLMNAR,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.371570295258658, 0.252550039394203, -0.573617687534056, -0.23890998865209, 0.307261291343012]",0.174176866282265,0.0,0.8271136479154566,0.6651434940845175,0.8467286272170035,0.5593425085284162
SimNLMNAR_rep7_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.497264165806326, 0.138790856923675, -0.419478510379443, -0.365156820010141, 0.285507002288625], [0.205521902840856]]",SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.209114074707031,0.0036308765411377,2025-11-28 01:02:08.312762,SimNLMNAR,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.497264165806326, 0.138790856923675, -0.419478510379443, -0.365156820010141, 0.285507002288625]",0.205521902840856,0.0,0.5413386175767362,0.536545944151156,0.5903521726071186,0.45416149555051755
SimNLMNAR_rep8_n115000_d5_corr95_NA25,MICE.1.IMP,5000,"[[0.238075938090389, 0.37450504023594, -0.509646618871369, -0.27331065604847, 0.301675707213385], [0.206819542930244]]",SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_5000,0.209491014480591,0.0052030086517334,2025-11-28 01:02:08.555219,SimNLMNAR,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.238075938090389, 0.37450504023594, -0.509646618871369, -0.27331065604847, 0.301675707213385]",0.206819542930244,0.0,0.9934575790105292,0.770408855781248,1.0146054651743337,0.6491364337073525
