set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,10000,"[[1.5521931164087, -0.553923119290839, -0.50462116178778, -1.06998107037994, 0.885805230849789], [0.00310330769842038]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_10000,1.62188744544983,0.0178349018096924,2025-06-09 11:03:59.844846,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.5521931164087, -0.553923119290839, -0.50462116178778, -1.06998107037994, 0.885805230849789]",0.00310330769842038,0.03246653485511231,0.001906050709561962,0.03249677659601817,0.0015899806777468141
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,50000,"[[1.60879357896646, -0.590115043076614, -0.533981824454954, -1.05187114609268, 0.856709571463679], [0.0101908643438014]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_50000,3.93371558189392,0.0262219905853271,2025-06-09 11:04:12.599501,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.60879357896646, -0.590115043076614, -0.533981824454954, -1.05187114609268, 0.856709571463679]",0.0101908643438014,0.00928043052802457,0.0002529446496742443,0.010326759891626,0.00022809616074083073
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,100,"[[1.99302050023193, -1.39131483625801, -1.21621511015307, -0.41849736863335, 1.15043384495445, 0.20213120994987, -0.295105187350998, 1.7856290565719, -0.254906687249887, 0.306841666082194], [0.117085997351267]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_100,0.7934315204620358,0.0164861679077148,2025-06-09 11:03:58.43276,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.99302050023193, -1.39131483625801, -1.21621511015307, -0.41849736863335, 1.15043384495445]",0.117085997351267,0.4294203936865954,0.3453217853004629,0.4310999748935296,0.29005300954634256
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,500,"[[0.880378681322101, -0.208261798060285, -0.45997667754033, -0.449914593461789, 0.34900130461336, -0.323231970602481, -0.417218154489436, -0.0226873196017813, 0.141750016170126, -0.123879284901549], [0.290659299198953]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_500,0.239470720291138,0.0145280361175537,2025-06-09 11:04:04.290747,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.880378681322101, -0.208261798060285, -0.45997667754033, -0.449914593461789, 0.34900130461336]",0.290659299198953,0.22435883944431903,0.275163340327999,0.33050216606815264,0.2433832549751369
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,1000,"[[0.975723801605733, -0.284104996694945, -0.340276959420745, -0.651281936585741, 0.580977672708892, -0.187642332477013, -0.130369193504403, 0.0591855917256203, 0.102754854795872, -0.0136024953066193], [0.0861963151430591]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_1000,0.636516332626343,0.0155770778656006,2025-06-09 11:04:08.279858,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.975723801605733, -0.284104996694945, -0.340276959420745, -0.651281936585741, 0.580977672708892]",0.0861963151430591,0.07656387722208866,0.16441797731099372,0.0986602228142523,0.13825328188320168
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,5000,"[[0.921056963100444, -0.274419925278353, -0.362350464083515, -0.678948161703959, 0.490786545128148, 0.0692065525335795, -0.0269523892534751, -0.0227732709664053, 0.0498809062643782, 0.00381943308290389], [0.0147836691694138]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_5000,0.66731333732605,0.0219929218292236,2025-06-09 11:04:03.889056,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.921056963100444, -0.274419925278353, -0.362350464083515, -0.678948161703959, 0.490786545128148]",0.0147836691694138,0.08736307752963154,0.1863000501574575,0.08807035341331577,0.15528646794356635
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,10000,"[[0.987203384030889, -0.310162889492483, -0.420194252282797, -0.605746782073349, 0.479649660009507, 0.0343985193601365, -0.0477550250918857, -0.00442991792929722, 0.0789642774643595, -0.00969193792181237], [-0.00821074100260009]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_10000,0.516113519668579,0.0170133113861084,2025-06-09 11:04:09.976031,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.987203384030889, -0.310162889492483, -0.420194252282797, -0.605746782073349, 0.479649660009507]",-0.00821074100260009,0.09571378489973606,0.17513462928279072,0.09590395894945754,0.1459567604469609
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP.M,50000,"[[0.959277496456378, -0.258340049339263, -0.420148159040772, -0.624522673469356, 0.456429834401229, -0.0107686856070202, -0.00381482064991146, 0.0200226534463881, -0.0181293574603235, -0.00232447863885816], [0.0154258968645627]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP.M_50000,2.16063213348389,0.027374267578125,2025-06-09 11:04:06.455342,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.959277496456378, -0.258340049339263, -0.420148159040772, -0.624522673469356, 0.456429834401229]",0.0154258968645627,0.1184843635991747,0.18945081751149592,0.11905025204565621,0.1579153409752593
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP.M,100,"[[1.90763415465261, -0.844939243602134, -1.30936246806238, -0.796627494115671, 1.44529099036737, 0.958276529044066, -0.441564173087768, 1.56902299377916, -0.0783360696995074, 0.485861954638021], [0.191529153038037]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP.M_100,0.306444644927979,0.0219581127166748,2025-06-09 11:04:29.289837,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.90763415465261, -0.844939243602134, -1.30936246806238, -0.796627494115671, 1.44529099036737]",0.19152915303803697,0.3201161636631377,0.2315029685070476,0.32633190006478835,0.19903304316645096
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP.M,500,"[[1.70389938035724, -0.554971031255225, -0.636122406773239, -1.03992811274133, 0.933037104773137, -0.317136180685515, -0.431717213811581, 0.251544096921609, 0.209662651537328, 0.0402959574886392], [0.204673496361693]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP.M_500,0.624915838241577,0.0164318084716797,2025-06-09 11:04:33.67155,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.70389938035724, -0.554971031255225, -0.636122406773239, -1.03992811274133, 0.933037104773137]",0.204673496361693,0.06145509978704202,0.005374437333992386,0.10608226522188414,0.011460571130480312
